ANALYTE_ID	DOCUMENT_NUMBER	TEST_SYSTEM_ID	ANALYTE_NAME	DATE_EFFECTIVE
25	K933066	5253	Estradiol	1994-05-25
25	K933066	5254	Estradiol	1996-09-20
25	K933464	5781	Estradiol	1994-05-24
25	K933464	5782	Estradiol	1994-05-24
25	K933464	5783	Estradiol	1998-04-17
25	K933464	5784	Estradiol	1998-04-17
25	K935047	5936	Estradiol	1994-11-23
25	K940810	6100	Estradiol	1996-10-25
25	K940810	6101	Estradiol	1996-11-15
25	K941168	6117	Estradiol	1994-10-28
25	K942443	6192	Estradiol	1998-01-16
25	K943193	6295	Estradiol	1995-03-03
25	K946199	6191	Estradiol	1995-04-21
25	K951360	1005	Estradiol	1998-08-21
25	K951360	6186	Estradiol	1995-05-05
25	K953605	6846	Estradiol	1996-03-08
25	K961481	45	Estradiol	2001-06-12
25	K961481	13666	Estradiol	2006-12-30
25	K962919	4206	Estradiol	2004-03-15
25	K965109	43	Estradiol	1999-05-07
25	K965109	44	Estradiol	1999-05-07
25	K965109	7147	Estradiol	1997-05-02
25	K965109	7148	Estradiol	1997-05-16
25	K970227	210	Estradiol	1997-12-12
25	K970227	13699	Estradiol	2006-12-28
25	K970386	125	Estradiol	2001-12-17
25	K970643	115	Estradiol	1998-02-20
25	K970643	7731	Estradiol	1997-05-16
25	K971103	96	Estradiol	2003-12-18
25	K971103	96	Estradiol	2004-04-05
25	K971103	97	Estradiol	2004-04-05
25	K971103	1178	Estradiol	2000-01-18
25	K971103	1179	Estradiol	1997-09-26
25	K971418	7917	Estradiol	1998-04-24
25	K971418	18951	Estradiol	2011-08-02
25	K973743	730	Estradiol	1997-05-16
25	K973743	1049	Estradiol	2001-07-06
25	K973743	5536	Estradiol	1997-05-02
25	K973901	8232	Estradiol	1999-04-02
25	K982328	162	Estradiol	2000-01-18
25	K983212	149	Estradiol	2002-08-16
25	X020008	49	Estradiol	2002-10-24
25	X020008	50	Estradiol	2002-10-24
25	X030005	60	Estradiol	2003-11-03
25	X070013	14153	Estradiol	2007-06-01
25	X070042	14430	Estradiol	2007-08-30
25	X080035	15070	Estradiol	2008-08-07
25	X080094	15405	Estradiol	2008-08-18
25	X090041	15994	Estradiol	2009-04-16
25	X090042	15993	Estradiol	2009-04-14
25	X090057	15954	Estradiol	2009-04-21
25	X090057	15955	Estradiol	2009-04-21
25	X090057	15956	Estradiol	2009-04-21
25	X100004	2032	Estradiol	2010-06-18
25	X100004	15508	Estradiol	2010-06-18
25	X100004	15690	Estradiol	2010-06-18
25	X100030	17398	Estradiol	2012-01-23
25	X110006	17676	Estradiol	2011-10-31
25	X110006	17678	Estradiol	2011-10-31
25	X110006	18975	Estradiol	2011-10-31
25	X110006	19304	Estradiol	2011-10-31
25	X110006	19305	Estradiol	2011-10-31
25	X110044	18515	Estradiol	2011-05-04
25	X110082	15718	Estradiol	2011-08-31
25	X110082	15958	Estradiol	2011-08-31
25	X110082	15959	Estradiol	2011-08-31
25	X110082	17037	Estradiol	2011-08-31
25	X120042	20536	Estradiol	2012-08-27
25	X130009	17927	Estradiol	2013-08-05
29	CDC000015	9222	Progesterone	1993-07-26
29	CDC000032	9506	Progesterone	1993-07-26
29	CDC000037	5318	Progesterone	1993-07-26
29	CDC000047	9671	Progesterone	1993-07-26
29	CDC000090	5583	Progesterone	1993-07-26
29	CDC000090	9979	Progesterone	1993-07-26
29	CDC000091	10022	Progesterone	1993-07-26
29	CDC000091	10023	Progesterone	1993-07-26
29	CDC000166	10707	Progesterone	1993-07-26
29	CDC000242	6173	Progesterone	1993-07-26
29	CDC000242	11260	Progesterone	1993-07-26
29	CDC000242	11261	Progesterone	1993-07-26
29	CDC000242	11262	Progesterone	1993-07-26
29	CDC000325	11788	Progesterone	1994-09-01
29	CDC000393	2794	Progesterone	1997-09-19
29	CDC000417	135	Progesterone	1993-07-26
29	CDC000434	5450	Progesterone	1993-07-26
29	CDC000481	5451	Progesterone	1999-05-07
29	CR140124	22529	Progesterone	2014-05-30
29	CR170132	25903	Progesterone	2017-03-15
29	CR180119	27103	Progesterone	2018-03-21
29	CR180937	25328	Progesterone	2019-01-23
