ANALYTE_ID	DOCUMENT_NUMBER	TEST_SYSTEM_ID	ANALYTE_NAME	DATE_EFFECTIVE
5	CDC000379	11866	albumin	1996-11-15
5	CDC000386	11953	albumin	1997-05-16
5	CDC000401	203	albumin	1998-09-18
5	CDC000401	5822	albumin	1998-09-18
5	CDC000407	936	albumin	1999-05-07
5	CDC000407	937	albumin	1999-05-07
5	CDC000407	3062	albumin	1999-05-07
5	CDC000407	3254	albumin	1999-05-07
5	CDC000407	6939	albumin	1999-05-07
5	CDC000407	6940	albumin	1999-05-07
5	CDC000428	9454	albumin	1993-07-26
5	CDC000429	5349	albumin	1993-07-26
5	CDC000429	9456	albumin	1993-07-26
5	CDC000435	5641	albumin	1993-07-26
5	CDC000442	6576	albumin	1993-07-26
5	CDC000446	5924	albumin	1993-07-26
5	CDC000447	5821	albumin	1993-07-26
5	CDC000452	10585	albumin	1993-07-26
5	CDC000453	5278	albumin	1993-07-26
5	CDC000453	5279	albumin	1993-07-26
5	CDC000453	5384	albumin	1993-07-26
5	CDC000453	10583	albumin	1993-07-26
5	CDC000453	10584	albumin	1993-07-26
5	CDC000464	7259	albumin	1993-07-26
5	CDC000476	11411	albumin	1993-07-26
5	CDC000477	11416	albumin	1993-07-26
5	CR140001	21444	albumin	2014-04-18
5	CR140086	22278	albumin	2014-05-12
5	CR140188	22588	albumin	2014-06-20
5	CR140219	22788	albumin	2014-08-13
5	CR140324	21269	albumin	2014-10-17
5	CR140324	22946	albumin	2014-10-17
5	CR140427	22431	albumin	2015-06-09
5	CR140491	23207	albumin	2015-01-09
5	CR140491	23208	albumin	2015-01-09
5	CR140491	23209	albumin	2015-01-09
5	CR140491	23210	albumin	2015-01-09
5	CR140491	23211	albumin	2015-01-09
5	CR140491	23212	albumin	2015-01-09
5	CR140491	23213	albumin	2015-01-09
5	CR140491	23214	albumin	2015-01-09
5	CR150069	22832	albumin	2015-03-02
5	CR150188	23711	albumin	2015-05-18
5	CR150219	22826	albumin	2015-05-28
5	CR150304	23895	albumin	2015-07-24
5	CR150308	24409	albumin	2015-12-11
5	CR150309	23313	albumin	2015-07-08
5	CR150339	23914	albumin	2015-07-30
5	CR150470	24230	albumin	2015-10-26
5	CR150475	24259	albumin	2015-10-29
5	CR150576	25324	albumin	2016-08-31
5	CR150576	25325	albumin	2016-08-31
5	CR150576	25326	albumin	2016-08-31
5	CR160200	24892	albumin	2016-05-24
5	CR160203	24889	albumin	2016-05-24
5	CR160386	25620	albumin	2017-03-13
5	CR160478	24382	albumin	2016-10-14
5	CR160478	24512	albumin	2016-10-14
5	CR160478	25494	albumin	2016-10-14
5	CR160671	25165	albumin	2016-12-29
5	CR170064	25673	albumin	2017-03-13
5	CR170105	26095	albumin	2017-03-23
5	CR170178	27857	albumin	2018-04-19
5	CR170609	27245	albumin	2017-12-21
5	CR170689	27086	albumin	2018-01-25
5	CR180578	28379	albumin	2018-10-02
5	CR190014	28560	albumin	2019-05-09
5	CR190278	29264	albumin	2019-09-03
5	CR190652	30819	albumin	2019-12-26
5	CR200029	30388	albumin	2020-02-19
5	CR200042	30979	albumin	2020-02-12
5	CR200042	30980	albumin	2020-02-12
5	CR200042	30981	albumin	2020-02-12
5	CR200111	31151	albumin	2020-04-06
5	CR200187	32186	albumin	2021-09-24
5	CR200329	31497	albumin	2020-08-07
5	CR200467	32050	albumin	2021-07-02
5	CR200467	32051	albumin	2021-07-02
5	CR210274	32526	albumin	2022-02-18
5	CR210326	32636	albumin	2022-04-12
5	CR210441	32716	albumin	2022-05-19
5	CR220249	34132	albumin	2023-07-27
5	CR220329	33133	albumin	2022-10-31
5	CR220329	33139	albumin	2022-10-31
5	CR220329	33145	albumin	2022-10-31
5	CR220329	33151	albumin	2022-10-31
5	CR220329	33157	albumin	2022-10-31
5	CR220329	33163	albumin	2022-10-31
5	CR220329	33169	albumin	2022-10-31
5	CR220432	33358	albumin	2022-12-05
5	CR230648	34776	albumin	2023-10-31
5	CR230678	34898	albumin	2023-11-20
5	CR230729	34977	albumin	2023-11-29
5	E990029	4745	albumin	1999-06-11
5	K000483	217	albumin	2000-04-01
5	K000483	4178	albumin	2004-02-10
5	K000483	4179	albumin	2004-02-10
5	K000483	4180	albumin	2004-02-10
5	K000483	4181	albumin	2004-02-10
5	K000483	17147	albumin	2010-06-18
5	K000483	17148	albumin	2010-06-18
5	K000483	17149	albumin	2010-06-18
5	K000483	17150	albumin	2010-06-18
5	K003327	1061	albumin	2000-12-06
5	K003327	1062	albumin	2000-12-06
5	K003327	14287	albumin	2008-01-23
5	K003327	14597	albumin	2007-10-29
5	K003327	14598	albumin	2007-10-29
5	K003327	14599	albumin	2007-10-29
5	K003327	14600	albumin	2007-10-29
5	K003327	14601	albumin	2007-10-29
5	K003327	15295	albumin	2008-11-21
5	K003327	15829	albumin	2009-02-12
5	K003327	20361	albumin	2012-04-30
5	K010061	127	albumin	2001-04-26
5	K010061	4634	albumin	2005-01-26
5	K010061	15153	albumin	2011-06-20
5	K010061	15154	albumin	2011-06-20
5	K010061	15155	albumin	2011-06-20
5	K010061	15156	albumin	2011-06-20
5	K010864	1371	albumin	2002-03-14
5	K010877	1382	albumin	2001-07-03
5	K011213	1332	albumin	2001-07-06
5	K011465	1521	albumin	2001-09-10
5	K011465	1522	albumin	2001-09-10
5	K011465	1523	albumin	2001-09-10
5	K011465	1524	albumin	2001-09-10
5	K011720	999	albumin	2001-06-25
5	K012329	1749	albumin	2001-10-15
5	K012329	1750	albumin	2001-10-15
5	K013654	1998	albumin	2002-06-06
5	K020852	1313	albumin	2002-07-18
5	K021636	2558	albumin	2002-07-17
5	K022072	1998	albumin	2002-08-29
5	K022312	14854	albumin	2008-12-04
5	K022312	15625	albumin	2008-12-04
5	K022603	148	albumin	2002-10-30
5	K022603	17676	albumin	2011-10-31
5	K022603	17678	albumin	2011-10-31
5	K022603	18975	albumin	2011-10-31
5	K022603	19304	albumin	2011-10-31
5	K022603	19305	albumin	2011-10-31
5	K023049	2354	albumin	2002-10-08
5	K023764	15070	albumin	2008-10-02
5	K023824	2884	albumin	2003-05-14
5	K023875	575	albumin	2002-12-09
5	K023875	577	albumin	2002-12-09
5	K023875	861	albumin	2011-05-11
5	K023875	2923	albumin	2002-12-09
5	K024014	2922	albumin	2006-12-19
5	K024182	2968	albumin	2003-02-26
5	K030006	255	albumin	2003-03-18
5	K033009	139	albumin	2003-11-18
5	K033009	140	albumin	2003-11-18
5	K033009	141	albumin	2003-11-18
5	K033009	244	albumin	2003-11-18
5	K033009	14250	albumin	2008-08-07
5	K042291	4208	albumin	2004-11-16
5	K042291	4221	albumin	2004-11-16
5	K042291	15954	albumin	2009-04-23
5	K042475	18352	albumin	2013-06-04
5	K042767	12280	albumin	2005-05-02
5	K042767	12281	albumin	2005-05-02
5	K051087	14900	albumin	2008-02-28
5	K051087	15958	albumin	2009-09-14
5	K051087	15959	albumin	2009-09-14
5	K051432	1487	albumin	2005-06-23
5	K052914	13106	albumin	2006-12-19
5	K053196	12858	albumin	2005-12-20
5	K053196	12859	albumin	2005-12-20
5	K053401	1487	albumin	2006-05-01
5	K053401	14148	albumin	2007-05-31
5	K060256	13024	albumin	2006-03-22
5	K060373	13453	albumin	2006-10-03
5	K060434	12857	albumin	2007-06-11
5	K061020	13224	albumin	2006-05-22
5	K061879	13931	albumin	2007-02-26
5	K063744	13770	albumin	2007-01-18
5	K072143	14818	albumin	2008-07-17
5	K073370	15045	albumin	2008-05-19
5	K081543	15782	albumin	2009-01-30
5	K100060	17559	albumin	2010-12-21
5	K100060	22151	albumin	2013-10-25
5	K100853	17380	albumin	2011-01-10
5	K100853	17549	albumin	2011-01-10
5	K100853	19045	albumin	2011-09-01
5	K101741	18789	albumin	2011-06-28
5	K110818	17349	albumin	2011-10-04
5	K110830	18704	albumin	2011-06-23
5	K110830	19599	albumin	2012-01-26
5	K112412	19603	albumin	2012-05-08
5	K113374	20420	albumin	2012-07-25
5	K121045	21817	albumin	2013-06-24
5	K131051	19269	albumin	2013-06-10
5	K131488	21656	albumin	2013-08-22
5	K132664	16949	albumin	2013-10-18
5	K771771	12165	albumin	2005-07-07
5	K771771	14390	albumin	2008-06-13
5	K811919	4888	albumin	1995-09-29
5	K822471	345	albumin	2000-04-25
5	K822471	430	albumin	2000-04-25
5	K822471	505	albumin	2000-04-24
5	K822471	506	albumin	2000-04-24
5	K822471	1160	albumin	2001-01-29
5	K822471	2081	albumin	2002-01-04
5	K822471	2192	albumin	2002-02-21
5	K822471	2587	albumin	2002-07-02
5	K822471	12392	albumin	2005-06-23
5	K822471	15074	albumin	2008-06-12
5	K822471	21243	albumin	2013-01-03
5	K822471	22509	albumin	2014-04-24
5	K833833	576	albumin	1998-02-20
5	K833833	4897	albumin	1995-09-29
5	K833833	4898	albumin	1997-03-28
5	K843104	2233	albumin	2002-02-25
5	K843104	14170	albumin	2007-06-11
5	K854138	4916	albumin	1995-09-29
5	K861467	453	albumin	2000-05-12
5	K861654	3025	albumin	2003-02-27
5	K861700	156	albumin	2003-05-08
5	K863226	580	albumin	2000-05-12
5	K872104	4950	albumin	1995-09-29
5	K872105	4951	albumin	1995-09-29
5	K875070	4979	albumin	1999-03-26
5	K880844	5001	albumin	1995-04-28
5	K882938	5020	albumin	1998-11-19
5	K890928	5112	albumin	1995-09-29
5	K890928	5113	albumin	1995-09-29
5	K890928	5114	albumin	1997-03-28
5	K890928	5115	albumin	1997-03-28
5	K890928	5116	albumin	1998-02-20
5	K890928	5117	albumin	1998-02-20
5	K890929	5118	albumin	1995-09-29
5	K890929	5119	albumin	1995-09-29
5	K890929	5120	albumin	1997-03-28
5	K890929	5121	albumin	1998-02-20
5	K912844	5248	albumin	1995-09-29
5	K912844	5249	albumin	1997-03-28
5	K912844	5250	albumin	1998-02-20
5	K921661	938	albumin	1999-05-24
